#: table_doi: 10.17182/hepdata.84717.v1/t100
#: name: Table 99
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi2030.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi2030
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_2030,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.0195261,0.028659,-0.028659,0.001171566,-0.001171566
1.35,1.2,1.5,0.0782375,0.0138739,-0.0138739,0.00469425,-0.00469425
1.65,1.5,1.8,0.118603,0.010861,-0.010861,0.00711618,-0.00711618
1.9500000000000002,1.8,2.1,0.137967,0.00966426,-0.00966426,0.00827802,-0.00827802
2.25,2.1,2.4,0.153832,0.00994618,-0.00994618,0.00922992,-0.00922992
2.55,2.4,2.7,0.170287,0.0118639,-0.0118639,0.01021722,-0.01021722
2.85,2.7,3.0,0.206967,0.012131,-0.012131,0.01241802,-0.01241802
3.25,3.0,3.5,0.205661,0.0107786,-0.0107786,0.01233966,-0.01233966
3.75,3.5,4.0,0.208819,0.0139939,-0.0139939,0.01252914,-0.01252914
4.25,4.0,4.5,0.168906,0.0190298,-0.0190298,0.01013436,-0.01013436
4.75,4.5,5.0,0.154354,0.0216812,-0.0216812,0.00926124,-0.00926124
5.25,5.0,5.5,0.156828,0.0264819,-0.0264819,0.00940968,-0.00940968
5.75,5.5,6.0,0.138257,0.0308095,-0.0308095,0.00829542,-0.00829542
6.25,6.0,6.5,0.171314,0.0375984,-0.0375984,0.01027884,-0.01027884

