#: table_doi: 10.17182/hepdata.84717.v1/t57
#: name: Table 56
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_0.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_05,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0014298878,0.0016249424,-0.0016249424,0.0001547762,-0.0001547762
0.8500000000000001,0.8,0.9,0.0009519523,0.0014864429,-0.0014864429,8.29818e-05,-8.29818e-05
0.95,0.9,1.0,0.0024223072,0.0014164278,-0.0014164278,0.0001618045,-0.0001618045
1.125,1.0,1.25,0.0064887432,0.0008589135,-0.0008589135,0.0003209028,-0.0003209028
1.375,1.25,1.5,0.0136666801,0.0008668056,-0.0008668056,0.0006483935,-0.0006483935
1.625,1.5,1.75,0.023013073,0.0009286272,-0.0009286272,0.001050634,-0.001050634
1.875,1.75,2.0,0.0367779571,0.0010252058,-0.0010252058,0.001721796,-0.001721796
2.125,2.0,2.25,0.0475778698,0.0007992241,-0.0007992241,0.0022043587,-0.0022043587
2.375,2.25,2.5,0.0619493452,0.0009380209,-0.0009380209,0.0028510541,-0.0028510541
2.625,2.5,2.75,0.0724035371,0.0011188325,-0.0011188325,0.003348627,-0.003348627
2.875,2.75,3.0,0.0809735675,0.0013514659,-0.0013514659,0.0037461758,-0.0037461758
3.125,3.0,3.25,0.0901670328,0.0016570521,-0.0016570521,0.0044189504,-0.0044189504
3.375,3.25,3.5,0.0988569955,0.002052907,-0.002052907,0.0045443615,-0.0045443615
3.625,3.5,3.75,0.1019361632,0.0025526862,-0.0025526862,0.0046905989,-0.0046905989
3.875,3.75,4.0,0.1066797987,0.0031710054,-0.0031710054,0.0053429591,-0.0053429591
4.25,4.0,4.5,0.1123380236,0.0037559895,-0.0037559895,0.0076398118,-0.0076398118
4.75,4.5,5.0,0.1008598003,0.0053106149,-0.0053106149,0.0068592082,-0.0068592082
5.5,5.0,6.0,0.0929220992,0.0059807153,-0.0059807153,0.0063193862,-0.0063193862
6.5,6.0,7.0,0.0682168853,0.0105877453,-0.0105877453,0.0046392499,-0.0046392499
8.0,7.0,9.0,0.0362853958,0.0134427041,-0.0134427041,0.0024676738,-0.0024676738
10.5,9.0,12.0,0.0033541815,0.0218970207,-0.0218970207,0.000228109,-0.000228109

