#: table_doi: 10.17182/hepdata.84717.v1/t77
#: name: Table 76
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_7.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_7
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,60-70%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_6070,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0841877,0.00536301,-0.00536301,0.01532107,-0.01532107
0.9500000000000001,0.8,1.1,0.116347,0.00315566,-0.00315566,0.008074623,-0.008074623
1.25,1.1,1.4,0.148338,0.00280291,-0.00280291,0.00885938,-0.00885938
1.5499999999999998,1.4,1.7,0.174116,0.00310292,-0.00310292,0.01060285,-0.01060285
1.85,1.7,2.0,0.180062,0.00386812,-0.00386812,0.01617434,-0.01617434
2.25,2.0,2.5,0.19483,0.00409684,-0.00409684,0.008564998,-0.008564998
2.75,2.5,3.0,0.177786,0.00595806,-0.00595806,0.01023385,-0.01023385
3.25,3.0,3.5,0.169709,0.0085277,-0.0085277,0.0250188,-0.0250188
3.75,3.5,4.0,0.175913,0.0114432,-0.0114432,0.02264212,-0.02264212
4.5,4.0,5.0,0.160615,0.0120854,-0.0120854,0.02193694,-0.02193694
5.5,5.0,6.0,0.0946723,0.0199068,-0.0199068,0.02142313,-0.02142313
7.0,6.0,8.0,0.103972,0.0254761,-0.0254761,0.02352754,-0.02352754
9.0,8.0,10.0,0.112597,0.0504376,-0.0504376,0.02547927,-0.02547927

