#: table_doi: 10.17182/hepdata.84717.v1/t63
#: name: Table 62
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_0ultra.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_01,stat +,stat -,sys +,sys -
0.75,0.7,0.8,-0.0009824343,0.0090945543,-0.0090945543,0.0001958719,-0.0001958719
0.8500000000000001,0.8,0.9,-0.0080276932,0.0082899845,-0.0082899845,0.0016005135,-0.0016005135
0.95,0.9,1.0,0.0058692204,0.0078864726,-0.0078864726,0.0011701701,-0.0011701701
1.125,1.0,1.25,0.0092362224,0.0047694036,-0.0047694036,0.0018414629,-0.0018414629
1.375,1.25,1.5,0.0030932436,0.0048061029,-0.0048061029,0.0006167124,-0.0006167124
1.625,1.5,1.75,0.0102069399,0.0051386491,-0.0051386491,0.0018158603,-0.0018158603
1.875,1.75,2.0,0.0113795431,0.0056681596,-0.0056681596,0.0020530702,-0.0020530702
2.125,2.0,2.25,0.0230342311,0.0044687242,-0.0044687242,0.0035273223,-0.0035273223
2.375,2.25,2.5,0.0416082129,0.0052283307,-0.0052283307,0.0063716373,-0.0063716373
2.625,2.5,2.75,0.0434989012,0.0062201036,-0.0062201036,0.0066611696,-0.0066611696
2.875,2.75,3.0,0.0558229319,0.0075227536,-0.0075227536,0.0085665923,-0.0085665923
3.125,3.0,3.25,0.0605951896,0.0092259606,-0.0092259606,0.0092989434,-0.0092989434
3.375,3.25,3.5,0.0740104641,0.0114277894,-0.0114277894,0.0113576527,-0.0113576527
3.625,3.5,3.75,0.0722325967,0.014200993,-0.014200993,0.011084821,-0.011084821
3.875,3.75,4.0,0.0706707123,0.017664799,-0.017664799,0.0108451341,-0.0108451341
4.25,4.0,4.5,0.0845031425,0.020603481,-0.020603481,0.0138852833,-0.0138852833
4.75,4.5,5.0,0.0614713344,0.0294898711,-0.0294898711,0.010100771,-0.010100771
5.5,5.0,6.0,0.1128587749,0.0333454627,-0.0333454627,0.0185445892,-0.0185445892

