#: table_doi: 10.17182/hepdata.84717.v1/t82
#: name: Table 81
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_4.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_3040,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0152457,0.00268325,-0.00268325,0.003430379,-0.003430379
0.9500000000000001,0.8,1.1,0.0304522,0.0015835,-0.0015835,0.005206324,-0.005206324
1.25,1.1,1.4,0.0507825,0.00144774,-0.00144774,0.003336267,-0.003336267
1.5499999999999998,1.4,1.7,0.0640797,0.00168019,-0.00168019,0.002536214,-0.002536214
1.85,1.7,2.0,0.0784867,0.00215502,-0.00215502,0.005176065,-0.005176065
2.25,2.0,2.5,0.091174,0.00239193,-0.00239193,0.005148652,-0.005148652
2.75,2.5,3.0,0.0914496,0.00373372,-0.00373372,0.007578241,-0.007578241
3.25,3.0,3.5,0.095019,0.00556916,-0.00556916,0.01005558,-0.01005558
3.75,3.5,4.0,0.0923581,0.00807946,-0.00807946,0.009773987,-0.009773987
4.5,4.0,5.0,0.0719521,0.00878447,-0.00878447,0.00761448,-0.00761448
5.5,5.0,6.0,0.0608212,0.014839,-0.014839,0.006436529,-0.006436529
7.0,6.0,8.0,0.0183198,0.0189527,-0.0189527,0.001938731,-0.001938731
9.0,8.0,10.0,0.0434698,0.0384549,-0.0384549,0.004600282,-0.004600282

