#: table_doi: 10.17182/hepdata.84717.v1/t104
#: name: Table 103
#: description: pt max of anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: pt_v2_max_CH_PIONS.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: pt_2_max_CH_PIONS
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
Centrality,Centrality LOW,Centrality HIGH,pt_v2_max_CH_PIONS,stat +,stat -,sys +,sys -
2.5,0,5,1.39311,0.0278795,-0.0278795,0.0959871,-0.0959871
7.5,5,10,1.47828,0.0109289,-0.0109289,0.0210995,-0.0210995
15.0,10,20,1.45182,0.0049179,-0.0049179,0.0211588,-0.0211588
25.0,20,30,1.37643,0.00434913,-0.00434913,0.0331936,-0.0331936
35.0,30,40,1.31285,0.00503085,-0.00503085,0.037585,-0.037585
45.0,40,50,1.24191,0.00673227,-0.00673227,0.0448634,-0.0448634
55.0,50,60,1.14331,0.00861177,-0.00861177,0.0194961,-0.0194961
65.0,60,70,1.06151,0.0192488,-0.0192488,0.0120691,-0.0120691

