#: table_doi: 10.17182/hepdata.84717.v1/t88
#: name: Table 87
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_4.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_3040,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0414847,0.00122772,-0.00122772,0.007556121,-0.007556121
1.25,1.1,1.4,0.0765997,0.00080748,-0.00080748,0.008530838,-0.008530838
1.5499999999999998,1.4,1.7,0.116916,0.000708153,-0.000708153,0.005403911,-0.005403911
1.85,1.7,2.0,0.158562,0.00071841,-0.00071841,0.008346655,-0.008346655
2.25,2.0,2.5,0.202928,0.000640943,-0.000640943,0.009499662,-0.009499662
2.75,2.5,3.0,0.247623,0.000861826,-0.000861826,0.006771243,-0.006771243
3.25,3.0,3.5,0.274341,0.00126052,-0.00126052,0.009926858,-0.009926858
3.75,3.5,4.0,0.288717,0.0018988,-0.0018988,0.01044704,-0.01044704
4.5,4.0,5.0,0.286624,0.00242655,-0.00242655,0.01037131,-0.01037131
5.5,5.0,6.0,0.252163,0.00541752,-0.00541752,0.009124361,-0.009124361
7.0,6.0,8.0,0.213735,0.00965159,-0.00965159,0.007733868,-0.007733868
9.0,8.0,10.0,0.145089,0.0280476,-0.0280476,0.005249955,-0.005249955

