#: table_doi: 10.17182/hepdata.84717.v1/t21
#: name: Table 20
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_3.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_2030,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0075889756,0.0005090603,-0.0005090603,0.0007995482,-0.0007995482
0.6499999999999999,0.6,0.7,0.0111628863,0.0005300622,-0.0005300622,0.0011760831,-0.0011760831
0.75,0.7,0.8,0.015019252,0.0005798112,-0.0005798112,0.0015823764,-0.0015823764
0.8500000000000001,0.8,0.9,0.0185188105,0.0006392378,-0.0006392378,0.0018144655,-0.0018144655
0.95,0.9,1.0,0.0224603939,0.0007111552,-0.0007111552,0.0022006603,-0.0022006603
1.125,1.0,1.25,0.0296148362,0.000542478,-0.000542478,0.0029016496,-0.0029016496
1.375,1.25,1.5,0.0397399561,0.0007202796,-0.0007202796,0.0038937047,-0.0038937047
1.625,1.5,1.75,0.0481241288,0.0009521713,-0.0009521713,0.0047151839,-0.0047151839
1.875,1.75,2.0,0.0563284425,0.001242842,-0.001242842,0.0055219871,-0.0055219871
2.125,2.0,2.25,0.0633923859,0.0016189907,-0.0016189907,0.006243426,-0.006243426
2.375,2.25,2.5,0.0658931555,0.0020832644,-0.0020832644,0.0064897232,-0.0064897232
2.625,2.5,2.75,0.0711053637,0.0026432259,-0.0026432259,0.0070030662,-0.0070030662
2.875,2.75,3.0,0.0785017424,0.003316604,-0.003316604,0.007731525,-0.007731525
3.125,3.0,3.25,0.0709341729,0.0041081342,-0.0041081342,0.0069862059,-0.0069862059
3.375,3.25,3.5,0.0728250218,0.0050506431,-0.0050506431,0.0071724329,-0.0071724329
3.625,3.5,3.75,0.0697879959,0.0061251509,-0.0061251509,0.0068733205,-0.0068733205
3.875,3.75,4.0,0.0808632997,0.0073501613,-0.0073501613,0.0079641115,-0.0079641115
4.25,4.0,4.5,0.075016097,0.0083383164,-0.0083383164,0.0084038123,-0.0084038123
4.75,4.5,5.0,0.0646351816,0.0114107574,-0.0114107574,0.0072408717,-0.0072408717
5.5,5.0,6.0,0.0463303043,0.011863729,-0.011863729,0.0051902351,-0.0051902351

