#: table_doi: 10.17182/hepdata.84717.v1/t36
#: name: Table 35
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Kn_2.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV3Kn_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v3_1020,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0075698673,0.0006307839,-0.0006307839,0.0003807485,-0.0003807485
0.6499999999999999,0.6,0.7,0.0106815232,0.0005218676,-0.0005218676,0.000595807,-0.000595807
0.75,0.7,0.8,0.0152681218,0.0004871625,-0.0004871625,0.0007937122,-0.0007937122
0.8500000000000001,0.8,0.9,0.0201517308,0.0004763697,-0.0004763697,0.0010638066,-0.0010638066
0.95,0.9,1.0,0.0254019555,0.000480327,-0.000480327,0.0010814059,-0.0010814059
1.125,1.0,1.25,0.0356255301,0.0003249854,-0.0003249854,0.001464079,-0.001464079
1.375,1.25,1.5,0.0496680969,0.0003773345,-0.0003773345,0.0020052468,-0.0020052468
1.625,1.5,1.75,0.0622157404,0.0004503015,-0.0004503015,0.002515519,-0.002515519
1.875,1.75,2.0,0.0734885501,0.000542347,-0.000542347,0.0030347201,-0.0030347201
2.125,2.0,2.25,0.0821061668,0.000669738,-0.000669738,0.0034510859,-0.0034510859
2.375,2.25,2.5,0.0915229192,0.0008341419,-0.0008341419,0.0038034875,-0.0038034875
2.625,2.5,2.75,0.0961371237,0.0010390837,-0.0010390837,0.0040001459,-0.0040001459
2.875,2.75,3.0,0.1004490269,0.0012927581,-0.0012927581,0.004176215,-0.004176215
3.125,3.0,3.25,0.1022127982,0.0016106496,-0.0016106496,0.0042468835,-0.0042468835
3.375,3.25,3.5,0.1041133686,0.0019935008,-0.0019935008,0.0043338455,-0.0043338455
3.625,3.5,3.75,0.1056083031,0.0024444881,-0.0024444881,0.0044143347,-0.0044143347
3.875,3.75,4.0,0.0970171762,0.0029636549,-0.0029636549,0.0044924024,-0.0044924024

