#: table_doi: 10.17182/hepdata.84717.v1/t74
#: name: Table 73
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_4.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_3040,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0632807,0.000860101,-0.000860101,0.007467387,-0.007467387
0.9500000000000001,0.8,1.1,0.103261,0.000517405,-0.000517405,0.00296593,-0.00296593
1.25,1.1,1.4,0.142836,0.000471141,-0.000471141,0.002819022,-0.002819022
1.5499999999999998,1.4,1.7,0.171704,0.000544471,-0.000544471,0.002671326,-0.002671326
1.85,1.7,2.0,0.193993,0.000693456,-0.000693456,0.002277192,-0.002277192
2.25,2.0,2.5,0.213026,0.000780404,-0.000780404,0.003392797,-0.003392797
2.75,2.5,3.0,0.220957,0.00121199,-0.00121199,0.002701152,-0.002701152
3.25,3.0,3.5,0.212818,0.00179058,-0.00179058,0.006967313,-0.006967313
3.75,3.5,4.0,0.204925,0.00260829,-0.00260829,0.005537211,-0.005537211
4.5,4.0,5.0,0.181879,0.0028931,-0.0028931,0.007665705,-0.007665705
5.5,5.0,6.0,0.138907,0.00479,-0.00479,0.01156335,-0.01156335
7.0,6.0,8.0,0.126755,0.0062799,-0.0062799,0.01055176,-0.01055176
9.0,8.0,10.0,0.114616,0.0125723,-0.0125723,0.009541243,-0.009541243

