#: table_doi: 10.17182/hepdata.84717.v1/t97
#: name: Table 96
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_5.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_4050,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0133757,0.00577682,-0.00577682,0.01761714,-0.01761714
1.25,1.1,1.4,0.024702,0.00396788,-0.00396788,0.007443551,-0.007443551
1.5499999999999998,1.4,1.7,0.0478538,0.00359617,-0.00359617,0.01608662,-0.01608662
1.85,1.7,2.0,0.0792083,0.00373013,-0.00373013,0.007652269,-0.007652269
2.25,2.0,2.5,0.0946763,0.00339348,-0.00339348,0.003537656,-0.003537656
2.75,2.5,3.0,0.11692,0.00462231,-0.00462231,0.01429807,-0.01429807
3.25,3.0,3.5,0.127106,0.00676153,-0.00676153,0.007798161,-0.007798161
3.75,3.5,4.0,0.139255,0.0101662,-0.0101662,0.008543522,-0.008543522
4.5,4.0,5.0,0.137437,0.0127147,-0.0127147,0.008431985,-0.008431985
5.5,5.0,6.0,0.128582,0.0277471,-0.0277471,0.007888716,-0.007888716
7.0,6.0,8.0,-0.0110275,0.0466855,-0.0466855,0.0006765552,-0.0006765552
9.0,8.0,10.0,0.10303,0.119552,-0.119552,0.006321059,-0.006321059

