#: table_doi: 10.17182/hepdata.84717.v1/t70
#: name: Table 69
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2K0_0.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV2K0_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v2_05,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.0134793,0.00105889,-0.00105889,0.003308881,-0.003308881
0.9500000000000001,0.8,1.1,0.0251227,0.000604993,-0.000604993,0.00371826,-0.00371826
1.25,1.1,1.4,0.036344,0.000572235,-0.000572235,0.003115636,-0.003115636
1.5499999999999998,1.4,1.7,0.0446145,0.00068545,-0.00068545,0.002659423,-0.002659423
1.85,1.7,2.0,0.0524357,0.000917008,-0.000917008,0.003027368,-0.003027368
2.25,2.0,2.5,0.0580893,0.00103867,-0.00103867,0.003237886,-0.003237886
2.75,2.5,3.0,0.0626887,0.00169815,-0.00169815,0.002941605,-0.002941605
3.25,3.0,3.5,0.0625278,0.00271711,-0.00271711,0.007765201,-0.007765201
3.75,3.5,4.0,0.0500688,0.00406074,-0.00406074,0.004230017,-0.004230017
4.5,4.0,5.0,0.0401202,0.00484257,-0.00484257,0.00986091,-0.00986091
5.5,5.0,6.0,0.0395632,0.00862381,-0.00862381,0.007831901,-0.007831901
7.0,6.0,8.0,0.0235355,0.011207,-0.011207,0.00465907,-0.00465907
9.0,8.0,10.0,0.0035777,0.0220616,-0.0220616,0.0007082388,-0.0007082388

