#: table_doi: 10.17182/hepdata.84717.v1/t1
#: name: Table 0
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_0ultra.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_01,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0170339111,0.0003288926,-0.0003288926,0.0017848219,-0.0017848219
0.6499999999999999,0.6,0.7,0.0200654825,0.0003346824,-0.0003346824,0.0020104206,-0.0020104206
0.75,0.7,0.8,0.0231334607,0.0003607043,-0.0003607043,0.0022604984,-0.0022604984
0.8500000000000001,0.8,0.9,0.0258873432,0.0003947403,-0.0003947403,0.0027118289,-0.0027118289
0.95,0.9,1.0,0.0287556144,0.0004378736,-0.0004378736,0.0026245978,-0.0026245978
1.125,1.0,1.25,0.0318411111,0.0003338396,-0.0003338396,0.0024508011,-0.0024508011
1.375,1.25,1.5,0.0368868368,0.0004405953,-0.0004405953,0.002732488,-0.002732488
1.625,1.5,1.75,0.040144519,0.0005808739,-0.0005808739,0.0029648656,-0.0029648656
1.875,1.75,2.0,0.0424848965,0.0007633991,-0.0007633991,0.003139837,-0.003139837
2.125,2.0,2.25,0.0437986337,0.0010042703,-0.0010042703,0.0032484086,-0.0032484086
2.375,2.25,2.5,0.0451503703,0.0013086674,-0.0013086674,0.0033648388,-0.0033648388
2.625,2.5,2.75,0.0429794564,0.0016918545,-0.0016918545,0.0032030511,-0.0032030511
2.875,2.75,3.0,0.0455703638,0.0021708605,-0.0021708605,0.003380685,-0.003380685
3.125,3.0,3.25,0.0405102868,0.0027543207,-0.0027543207,0.0030190358,-0.0030190358
3.375,3.25,3.5,0.0400643726,0.003452352,-0.003452352,0.002985804,-0.002985804
3.625,3.5,3.75,0.04705373,0.0043050265,-0.0043050265,0.003506687,-0.003506687
3.875,3.75,4.0,0.0353632316,0.0052734244,-0.0052734244,0.0026354507,-0.0026354507
4.25,4.0,4.5,0.0326164171,0.0064799735,-0.0064799735,0.0030683712,-0.0030683712
4.75,4.5,5.0,0.0251427501,0.0091384519,-0.0091384519,0.0023652901,-0.0023652901
5.5,5.0,6.0,0.0272297384,0.0098649019,-0.0098649019,0.0025616224,-0.0025616224
6.5,6.0,7.0,0.0066209621,0.0154669254,-0.0154669254,0.0006228633,-0.0006228633
8.0,7.0,9.0,0.028647403,0.0179291196,-0.0179291196,0.0026949884,-0.0026949884
10.5,9.0,12.0,-0.0164496045,0.0273703945,-0.0273703945,0.0015474873,-0.0015474873
14.0,12.0,16.0,-0.0039548699,0.0462891573,-0.0462891573,0.0003720522,-0.0003720522

