#: table_doi: 10.17182/hepdata.84717.v1/t91
#: name: Table 90
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_7.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_7
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,60-70%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_6070,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0715062,0.00575641,-0.00575641,0.008194973,-0.008194973
1.25,1.1,1.4,0.127521,0.00402275,-0.00402275,0.01003475,-0.01003475
1.5499999999999998,1.4,1.7,0.161911,0.00376555,-0.00376555,0.007222707,-0.007222707
1.85,1.7,2.0,0.187345,0.00401739,-0.00401739,0.01170737,-0.01170737
2.25,2.0,2.5,0.216754,0.00375367,-0.00375367,0.00954373,-0.00954373
2.75,2.5,3.0,0.234733,0.00517678,-0.00517678,0.008735449,-0.008735449
3.25,3.0,3.5,0.239622,0.00756926,-0.00756926,0.02162534,-0.02162534
3.75,3.5,4.0,0.239589,0.0111848,-0.0111848,0.02162236,-0.02162236
4.5,4.0,5.0,0.218231,0.0133748,-0.0133748,0.01969485,-0.01969485
5.5,5.0,6.0,0.165901,0.0275951,-0.0275951,0.01497219,-0.01497219
7.0,6.0,8.0,0.126049,0.0450511,-0.0450511,0.01137564,-0.01137564
9.0,8.0,10.0,0.313816,0.132068,-0.132068,0.02832118,-0.02832118

