#: table_doi: 10.17182/hepdata.84717.v1/t66
#: name: Table 65
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pn_2.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV4Pn_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v4_1020,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0052391953,0.0034047051,-0.0034047051,0.0004649325,-0.0004649325
0.8500000000000001,0.8,0.9,-0.0014236638,0.0031177462,-0.0031177462,0.0001263376,-0.0001263376
0.95,0.9,1.0,0.0057076686,0.0029739065,-0.0029739065,0.0005065053,-0.0005065053
1.125,1.0,1.25,0.0058395095,0.0018200539,-0.0018200539,0.0005182051,-0.0005182051
1.375,1.25,1.5,0.0084702309,0.001871135,-0.001871135,0.0007516584,-0.0007516584
1.625,1.5,1.75,0.014768022,0.0020319337,-0.0020319337,0.001310532,-0.001310532
1.875,1.75,2.0,0.0278563425,0.0022685554,-0.0022685554,0.0025340086,-0.0025340086
2.125,2.0,2.25,0.0391285133,0.0018058387,-0.0018058387,0.0035594045,-0.0035594045
2.375,2.25,2.5,0.052247405,0.0021314974,-0.0021314974,0.0047527915,-0.0047527915
2.625,2.5,2.75,0.058647332,0.00254723,-0.00254723,0.0053350147,-0.0053350147
2.875,2.75,3.0,0.0725430401,0.0030682776,-0.0030682776,0.0065993788,-0.0065993788
3.125,3.0,3.25,0.079356928,0.0037422253,-0.0037422253,0.0072350738,-0.0072350738
3.375,3.25,3.5,0.0909445157,0.0045995129,-0.0045995129,0.0083227897,-0.0083227897
3.625,3.5,3.75,0.1090652464,0.005669462,-0.005669462,0.0099811089,-0.0099811089
3.875,3.75,4.0,0.0988204813,0.0070068627,-0.0070068627,0.0090435589,-0.0090435589
4.25,4.0,4.5,0.0964647224,0.0086043422,-0.0086043422,0.0104342555,-0.0104342555
4.75,4.5,5.0,0.1168522292,0.0118464518,-0.0118464518,0.0126395016,-0.0126395016
5.5,5.0,6.0,0.0902428172,0.0130376391,-0.0130376391,0.0097612535,-0.0097612535

