#: table_doi: 10.17182/hepdata.84717.v1/t55
#: name: Table 54
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_7.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_7
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,60-70%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_6070,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0575801449,0.0030406419,-0.0030406419,0.0036985536,-0.0036985536
0.8500000000000001,0.8,0.9,0.0739521585,0.0029133404,-0.0029133404,0.0047236136,-0.0047236136
0.95,0.9,1.0,0.0866009018,0.0029157574,-0.0029157574,0.0054177756,-0.0054177756
1.125,1.0,1.25,0.1132035067,0.0019543219,-0.0019543219,0.0043467914,-0.0043467914
1.375,1.25,1.5,0.1495242849,0.002255253,-0.002255253,0.0062016289,-0.0062016289
1.625,1.5,1.75,0.1768642289,0.0026911404,-0.0026911404,0.0075389445,-0.0075389445
1.875,1.75,2.0,0.2060641797,0.0032315096,-0.0032315096,0.0080991817,-0.0080991817
2.125,2.0,2.25,0.2276994715,0.0026828934,-0.0026828934,0.008928827,-0.008928827
2.375,2.25,2.5,0.2401571063,0.0032715048,-0.0032715048,0.0104078848,-0.0104078848
2.625,2.5,2.75,0.2485014719,0.0039689963,-0.0039689963,0.0097776879,-0.0097776879
2.875,2.75,3.0,0.2567296022,0.0048081558,-0.0048081558,0.0103609182,-0.0103609182
3.125,3.0,3.25,0.2589729966,0.005816534,-0.005816534,0.014800685,-0.014800685
3.375,3.25,3.5,0.2469851192,0.0070288079,-0.0070288079,0.016849412,-0.016849412
3.625,3.5,3.75,0.2421736173,0.0085485672,-0.0085485672,0.0148342369,-0.0148342369
3.875,3.75,4.0,0.2324080529,0.010139318,-0.010139318,0.015138452,-0.015138452
4.25,4.0,4.5,0.2429166199,0.0212879706,-0.0212879706,0.0202511475,-0.0202511475
4.75,4.5,5.0,0.2537741626,0.0263797006,-0.0263797006,0.0211563046,-0.0211563046
5.5,5.0,6.0,0.2082427176,0.0262865944,-0.0262865944,0.0173605001,-0.0173605001
6.5,6.0,7.0,0.2129909692,0.040009384,-0.040009384,0.0177563459,-0.0177563459
8.0,7.0,9.0,0.0949907784,0.0464341093,-0.0464341093,0.007919064,-0.007919064
10.5,9.0,12.0,0.1090518773,0.0744753909,-0.0744753909,0.0090912909,-0.0090912909
14.0,12.0,16.0,0.302203333,0.1333505571,-0.1333505571,0.0251936828,-0.0251936828

