#: table_doi: 10.17182/hepdata.84717.v1/t86
#: name: Table 85
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_2.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_1020,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0165142,0.001055,-0.001055,0.003044367,-0.003044367
1.25,1.1,1.4,0.0366127,0.000614302,-0.000614302,0.005852035,-0.005852035
1.5499999999999998,1.4,1.7,0.0637927,0.00050176,-0.00050176,0.007324876,-0.007324876
1.85,1.7,2.0,0.0908805,0.000488869,-0.000488869,0.007988964,-0.007988964
2.25,2.0,2.5,0.124612,0.000422679,-0.000422679,0.00593834,-0.00593834
2.75,2.5,3.0,0.160597,0.000554342,-0.000554342,0.005793277,-0.005793277
3.25,3.0,3.5,0.184982,0.000808192,-0.000808192,0.007890603,-0.007890603
3.75,3.5,4.0,0.20161,0.00123461,-0.00123461,0.008599888,-0.008599888
4.5,4.0,5.0,0.204649,0.00162597,-0.00162597,0.00872952,-0.00872952
5.5,5.0,6.0,0.197213,0.0038562,-0.0038562,0.008412329,-0.008412329
7.0,6.0,8.0,0.141983,0.00735015,-0.00735015,0.006056435,-0.006056435
9.0,8.0,10.0,0.106873,0.0214258,-0.0214258,0.004558781,-0.004558781

