#: table_doi: 10.17182/hepdata.84717.v1/t13
#: name: Table 12
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_2.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_1020,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0197829942,0.0001528423,-0.0001528423,0.0005984958,-0.0005984958
0.6499999999999999,0.6,0.7,0.024678059,0.0001576116,-0.0001576116,0.0007648561,-0.0007648561
0.75,0.7,0.8,0.0296481337,0.0001713058,-0.0001713058,0.0010382312,-0.0010382312
0.8500000000000001,0.8,0.9,0.0355021423,0.0001880353,-0.0001880353,0.0011437441,-0.0011437441
0.95,0.9,1.0,0.0403043795,0.0002085511,-0.0002085511,0.0012784052,-0.0012784052
1.125,1.0,1.25,0.0487795297,0.0001587542,-0.0001587542,0.001416744,-0.001416744
1.375,1.25,1.5,0.0610917247,0.0002102962,-0.0002102962,0.0016549322,-0.0016549322
1.625,1.5,1.75,0.072475481,0.0002776186,-0.0002776186,0.0018404929,-0.0018404929
1.875,1.75,2.0,0.0821428271,0.0003631888,-0.0003631888,0.0017612549,-0.0017612549
2.125,2.0,2.25,0.0894657941,0.0004748889,-0.0004748889,0.0019851738,-0.0019851738
2.375,2.25,2.5,0.095858809,0.0006142376,-0.0006142376,0.0023133954,-0.0023133954
2.625,2.5,2.75,0.0995883685,0.0007847852,-0.0007847852,0.0021722904,-0.0021722904
2.875,2.75,3.0,0.1025539933,0.0009920366,-0.0009920366,0.0029325617,-0.0029325617
3.125,3.0,3.25,0.1048888866,0.0012422893,-0.0012422893,0.0030076444,-0.0030076444
3.375,3.25,3.5,0.1014720933,0.0015362664,-0.0015362664,0.0023953115,-0.0023953115
3.625,3.5,3.75,0.1006376172,0.0018808666,-0.0018808666,0.0024628153,-0.0024628153
3.875,3.75,4.0,0.0986862169,0.0022766044,-0.0022766044,0.0027895913,-0.0027895913
4.25,4.0,4.5,0.0920815755,0.0026805139,-0.0026805139,0.0058600358,-0.0058600358
4.75,4.5,5.0,0.0750588684,0.0037203158,-0.0037203158,0.0047767173,-0.0047767173
5.5,5.0,6.0,0.059924562,0.0039075695,-0.0039075695,0.0038135759,-0.0038135759
6.5,6.0,7.0,0.0501720546,0.0061428096,-0.0061428096,0.0031929301,-0.0031929301
8.0,7.0,9.0,0.0365539214,0.0071025367,-0.0071025367,0.0023262774,-0.0023262774
10.5,9.0,12.0,0.0239319653,0.0111511242,-0.0111511242,0.001523021,-0.001523021

