#: table_doi: 10.17182/hepdata.84717.v1/t2
#: name: Table 1
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_0.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_05,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0225520425,0.0001178585,-0.0001178585,0.0012806172,-0.0012806172
0.6499999999999999,0.6,0.7,0.0265355664,0.0001202207,-0.0001202207,0.0017494587,-0.0017494587
0.75,0.7,0.8,0.0305871479,0.0001297427,-0.0001297427,0.0021925644,-0.0021925644
0.8500000000000001,0.8,0.9,0.0340336089,0.0001420755,-0.0001420755,0.0022389204,-0.0022389204
0.95,0.9,1.0,0.0371812638,0.0001576198,-0.0001576198,0.0021283839,-0.0021283839
1.125,1.0,1.25,0.0423525046,0.0001201906,-0.0001201906,0.0019592464,-0.0019592464
1.375,1.25,1.5,0.0492606879,0.0001588474,-0.0001588474,0.0020797842,-0.0020797842
1.625,1.5,1.75,0.0549107664,0.0002096602,-0.0002096602,0.0022786275,-0.0022786275
1.875,1.75,2.0,0.0590462531,0.0002754374,-0.0002754374,0.0024328728,-0.0024328728
2.125,2.0,2.25,0.062464009,0.0003620995,-0.0003620995,0.0025587133,-0.0025587133
2.375,2.25,2.5,0.06419381,0.0004720307,-0.0004720307,0.0026388885,-0.0026388885
2.625,2.5,2.75,0.0639970723,0.0006098141,-0.0006098141,0.0026798115,-0.0026798115
2.875,2.75,3.0,0.0658948716,0.0007797718,-0.0007797718,0.0027403241,-0.0027403241
3.125,3.0,3.25,0.0652132297,0.0009867991,-0.0009867991,0.0029237002,-0.0029237002
3.375,3.25,3.5,0.0623277887,0.0012378981,-0.0012378981,0.0027058957,-0.0027058957
3.625,3.5,3.75,0.0620037442,0.0015331369,-0.0015331369,0.0028115282,-0.0028115282
3.875,3.75,4.0,0.0601103852,0.0018764752,-0.0018764752,0.002847582,-0.002847582
4.25,4.0,4.5,0.0591080464,0.0022978816,-0.0022978816,0.0036316593,-0.0036316593
4.75,4.5,5.0,0.046092433,0.0032359249,-0.0032359249,0.0028319666,-0.0028319666
5.5,5.0,6.0,0.04120313,0.0034483674,-0.0034483674,0.0025315628,-0.0025315628
6.5,6.0,7.0,0.0312682232,0.0054421153,-0.0054421153,0.0019211519,-0.0019211519
8.0,7.0,9.0,0.0346082599,0.0062861658,-0.0062861658,0.0021263671,-0.0021263671
10.5,9.0,12.0,0.0238630016,0.0096352045,-0.0096352045,0.0014661674,-0.0014661674
14.0,12.0,16.0,0.0441364798,0.0161817069,-0.0161817069,0.0027117908,-0.0027117908

