#: table_doi: 10.17182/hepdata.84717.v1/t59
#: name: Table 58
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_2.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_1020,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0050755106,0.0013509922,-0.0013509922,0.0004832895,-0.0004832895
0.8500000000000001,0.8,0.9,0.003696159,0.0012407387,-0.0012407387,0.000259097,-0.000259097
0.95,0.9,1.0,0.003775079,0.0011850446,-0.0011850446,0.0002627371,-0.0002627371
1.125,1.0,1.25,0.0123304556,0.000725863,-0.000725863,0.0005744997,-0.0005744997
1.375,1.25,1.5,0.021141313,0.0007454933,-0.0007454933,0.0009290329,-0.0009290329
1.625,1.5,1.75,0.0354551657,0.000808952,-0.000808952,0.001384216,-0.001384216
1.875,1.75,2.0,0.0501558737,0.0009025474,-0.0009025474,0.0017928473,-0.0017928473
2.125,2.0,2.25,0.067161965,0.0007103539,-0.0007103539,0.0024883871,-0.0024883871
2.375,2.25,2.5,0.0811765828,0.0008381988,-0.0008381988,0.0028486998,-0.0028486998
2.625,2.5,2.75,0.0964270903,0.0010020245,-0.0010020245,0.0034344357,-0.0034344357
2.875,2.75,3.0,0.1086683312,0.0012080001,-0.0012080001,0.0037117808,-0.0037117808
3.125,3.0,3.25,0.1179130857,0.0014733004,-0.0014733004,0.0038692739,-0.0038692739
3.375,3.25,3.5,0.1271248151,0.0018111769,-0.0018111769,0.0041738693,-0.0041738693
3.625,3.5,3.75,0.1358712489,0.0022333608,-0.0022333608,0.004916872,-0.004916872
3.875,3.75,4.0,0.1363192042,0.0027595752,-0.0027595752,0.0047560852,-0.0047560852
4.25,4.0,4.5,0.1305273061,0.0034261379,-0.0034261379,0.0088768168,-0.0088768168
4.75,4.5,5.0,0.1316823052,0.0047206713,-0.0047206713,0.0089553652,-0.0089553652
5.5,5.0,6.0,0.1152125499,0.0052063597,-0.0052063597,0.0078353008,-0.0078353008
6.5,6.0,7.0,0.093880861,0.0090340765,-0.0090340765,0.006384589,-0.006384589
8.0,7.0,9.0,0.0557717382,0.0113605337,-0.0113605337,0.0037928884,-0.0037928884
10.5,9.0,12.0,0.0384716076,0.0187745462,-0.0187745462,0.0026163523,-0.0026163523

