#: table_doi: 10.17182/hepdata.84717.v1/t61
#: name: Table 60
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pn_4.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV3Pn_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v3_3040,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0090710989,0.0023662526,-0.0023662526,0.0005786872,-0.0005786872
0.8500000000000001,0.8,0.9,0.0072507866,0.0021916251,-0.0021916251,0.0003670694,-0.0003670694
0.95,0.9,1.0,0.0145270553,0.0021173948,-0.0021173948,0.0007069685,-0.0007069685
1.125,1.0,1.25,0.0200193299,0.0013305671,-0.0013305671,0.0010279875,-0.0010279875
1.375,1.25,1.5,0.034892835,0.001418663,-0.001418663,0.0012940492,-0.0012940492
1.625,1.5,1.75,0.0525773141,0.0015922077,-0.0015922077,0.0021840237,-0.0021840237
1.875,1.75,2.0,0.0694957828,0.0018228359,-0.0018228359,0.0030786687,-0.0030786687
2.125,2.0,2.25,0.0896005526,0.0014609164,-0.0014609164,0.0033603711,-0.0033603711
2.375,2.25,2.5,0.1070486146,0.0017477079,-0.0017477079,0.0048859322,-0.0048859322
2.625,2.5,2.75,0.1194757285,0.0021013612,-0.0021013612,0.0047551383,-0.0047551383
2.875,2.75,3.0,0.1303907704,0.0025375304,-0.0025375304,0.0050452556,-0.0050452556
3.125,3.0,3.25,0.135775603,0.0030886757,-0.0030886757,0.0055959811,-0.0055959811
3.375,3.25,3.5,0.1444135978,0.0037729882,-0.0037729882,0.006652372,-0.006652372
3.625,3.5,3.75,0.1425044494,0.0046058531,-0.0046058531,0.0071298996,-0.0071298996
3.875,3.75,4.0,0.1474711636,0.0056297631,-0.0056297631,0.006708683,-0.006708683
4.25,4.0,4.5,0.1496825886,0.0084553397,-0.0084553397,0.0101795169,-0.0101795169
4.75,4.5,5.0,0.1398824945,0.0111836401,-0.0111836401,0.0095130384,-0.0095130384
5.5,5.0,6.0,0.1115617866,0.0116187098,-0.0116187098,0.007587022,-0.007587022
6.5,6.0,7.0,0.075271876,0.0192519372,-0.0192519372,0.0051190412,-0.0051190412
8.0,7.0,9.0,0.0657761482,0.0235912848,-0.0235912848,0.0044732618,-0.0044732618
10.5,9.0,12.0,0.0115565034,0.0401888495,-0.0401888495,0.0007859272,-0.0007859272

