#: table_doi: 10.17182/hepdata.84717.v1/t84
#: name: Table 83
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_0.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_05,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.00823162,0.00246035,-0.00246035,0.001893495,-0.001893495
1.25,1.1,1.4,0.013124,0.00128548,-0.00128548,0.003854885,-0.003854885
1.5499999999999998,1.4,1.7,0.0235451,0.000993838,-0.000993838,0.003939179,-0.003939179
1.85,1.7,2.0,0.0363375,0.000939882,-0.000939882,0.004118932,-0.004118932
2.25,2.0,2.5,0.0494245,0.000797626,-0.000797626,0.003548433,-0.003548433
2.75,2.5,3.0,0.0633131,0.00103455,-0.00103455,0.006732595,-0.006732595
3.25,3.0,3.5,0.0717361,0.0015112,-0.0015112,0.005524921,-0.005524921
3.75,3.5,4.0,0.0753132,0.00232694,-0.00232694,0.005800419,-0.005800419
4.5,4.0,5.0,0.0764381,0.00315274,-0.00315274,0.005887056,-0.005887056
5.5,5.0,6.0,0.0725999,0.0078664,-0.0078664,0.005591448,-0.005591448
7.0,6.0,8.0,0.0503478,0.015953,-0.015953,0.003877651,-0.003877651
9.0,8.0,10.0,-0.0787504,0.0471495,-0.0471495,0.006065143,-0.006065143

