#: table_doi: 10.17182/hepdata.84717.v1/t102
#: name: Table 101
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi4050.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi4050
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_4050,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.0669735,0.0280682,-0.0280682,0.006027615,-0.006027615
1.35,1.2,1.5,0.114132,0.0147931,-0.0147931,0.01027188,-0.01027188
1.65,1.5,1.8,0.147335,0.0130523,-0.0130523,0.01326015,-0.01326015
1.9500000000000002,1.8,2.1,0.159425,0.0108917,-0.0108917,0.01434825,-0.01434825
2.25,2.1,2.4,0.223221,0.0111109,-0.0111109,0.02008989,-0.02008989
2.55,2.4,2.7,0.229893,0.0125231,-0.0125231,0.02069037,-0.02069037
2.85,2.7,3.0,0.237525,0.0145761,-0.0145761,0.02137725,-0.02137725
3.25,3.0,3.5,0.235099,0.0122888,-0.0122888,0.02115891,-0.02115891
3.75,3.5,4.0,0.190543,0.0158097,-0.0158097,0.01714887,-0.01714887
4.25,4.0,4.5,0.209092,0.0190222,-0.0190222,0.01881828,-0.01881828
4.75,4.5,5.0,0.161087,0.0244741,-0.0244741,0.01449783,-0.01449783
5.25,5.0,5.5,0.139324,0.0271608,-0.0271608,0.01253916,-0.01253916
5.75,5.5,6.0,0.12924,0.0418928,-0.0418928,0.0116316,-0.0116316
6.25,6.0,6.5,0.0748312,0.0425411,-0.0425411,0.006734808,-0.006734808

