#: table_doi: 10.17182/hepdata.84717.v1/t87
#: name: Table 86
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_3.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_2030,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0270649,0.00106313,-0.00106313,0.006835932,-0.006835932
1.25,1.1,1.4,0.0570917,0.000662241,-0.000662241,0.006930981,-0.006930981
1.5499999999999998,1.4,1.7,0.091448,0.000561335,-0.000561335,0.008359604,-0.008359604
1.85,1.7,2.0,0.127704,0.000558426,-0.000558426,0.004906295,-0.004906295
2.25,2.0,2.5,0.169633,0.000489455,-0.000489455,0.007246022,-0.007246022
2.75,2.5,3.0,0.213524,0.000650039,-0.000650039,0.007792621,-0.007792621
3.25,3.0,3.5,0.241069,0.00094616,-0.00094616,0.01281771,-0.01281771
3.75,3.5,4.0,0.257185,0.00143998,-0.00143998,0.01367461,-0.01367461
4.5,4.0,5.0,0.262322,0.00186578,-0.00186578,0.01394774,-0.01394774
5.5,5.0,6.0,0.241892,0.00428802,-0.00428802,0.01286147,-0.01286147
7.0,6.0,8.0,0.182495,0.00789904,-0.00789904,0.009703317,-0.009703317
9.0,8.0,10.0,0.146684,0.0231686,-0.0231686,0.007799235,-0.007799235

