#: table_doi: 10.17182/hepdata.84717.v1/t4
#: name: Table 3
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pin_2.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV2Pin_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v2_1020,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0535773328,6.39403e-05,-6.39403e-05,0.0020396299,-0.0020396299
0.6499999999999999,0.6,0.7,0.0636095739,6.59432e-05,-6.59432e-05,0.00247889,-0.00247889
0.75,0.7,0.8,0.0730129062,7.16577e-05,-7.16577e-05,0.00305508,-0.00305508
0.8500000000000001,0.8,0.9,0.0818187701,7.86486e-05,-7.86486e-05,0.0032264156,-0.0032264156
0.95,0.9,1.0,0.0899579074,8.72224e-05,-8.72224e-05,0.0032367525,-0.0032367525
1.125,1.0,1.25,0.1023978803,6.63997e-05,-6.63997e-05,0.0031653273,-0.0031653273
1.375,1.25,1.5,0.1192383353,8.79377e-05,-8.79377e-05,0.0034391265,-0.0034391265
1.625,1.5,1.75,0.1334696726,0.0001161116,-0.0001161116,0.0036805572,-0.0036805572
1.875,1.75,2.0,0.1447883706,0.0001519063,-0.0001519063,0.0039681645,-0.0039681645
2.125,2.0,2.25,0.1537563013,0.0001985901,-0.0001985901,0.0036463776,-0.0036463776
2.375,2.25,2.5,0.1595990824,0.0002569737,-0.0002569737,0.0041207536,-0.0041207536
2.625,2.5,2.75,0.1635106347,0.0003285068,-0.0003285068,0.0036433957,-0.0036433957
2.875,2.75,3.0,0.1646608147,0.0004153369,-0.0004153369,0.0041744038,-0.0041744038
3.125,3.0,3.25,0.1642769223,0.0005199244,-0.0005199244,0.0038756537,-0.0038756537
3.375,3.25,3.5,0.1617791863,0.0006439746,-0.0006439746,0.0032743447,-0.0032743447
3.625,3.5,3.75,0.1574885126,0.0007888171,-0.0007888171,0.0040803563,-0.0040803563
3.875,3.75,4.0,0.1511661331,0.0009543147,-0.0009543147,0.0038397686,-0.0038397686
4.25,4.0,4.5,0.1405356425,0.0011248309,-0.0011248309,0.0061659762,-0.0061659762
4.75,4.5,5.0,0.1257574612,0.0015607308,-0.0015607308,0.0055175862,-0.0055175862
5.5,5.0,6.0,0.1083146497,0.0016401404,-0.0016401404,0.0047522859,-0.0047522859
6.5,6.0,7.0,0.0862777817,0.002578223,-0.002578223,0.0037854223,-0.0037854223
8.0,7.0,9.0,0.0761389269,0.0029850213,-0.0029850213,0.0033405818,-0.0033405818
10.5,9.0,12.0,0.0561489994,0.0047084485,-0.0047084485,0.0024635273,-0.0024635273
14.0,12.0,16.0,0.0582327036,0.007957572,-0.007957572,0.0025549495,-0.0025549495

