#: table_doi: 10.17182/hepdata.84717.v1/t94
#: name: Table 93
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_2.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_1020,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.00250823,0.00252122,-0.00252122,0.0007351033,-0.0007351033
1.25,1.1,1.4,0.0128595,0.00146938,-0.00146938,0.003734643,-0.003734643
1.5499999999999998,1.4,1.7,0.0272065,0.00119968,-0.00119968,0.006008478,-0.006008478
1.85,1.7,2.0,0.0429418,0.00116956,-0.00116956,0.006010675,-0.006010675
2.25,2.0,2.5,0.0666162,0.00101097,-0.00101097,0.00423188,-0.00423188
2.75,2.5,3.0,0.0943397,0.00132707,-0.00132707,0.002225503,-0.002225503
3.25,3.0,3.5,0.114537,0.00193454,-0.00193454,0.008337973,-0.008337973
3.75,3.5,4.0,0.132997,0.00295602,-0.00295602,0.009681809,-0.009681809
4.5,4.0,5.0,0.140725,0.00387293,-0.00387293,0.01024439,-0.01024439
5.5,5.0,6.0,0.112313,0.00929972,-0.00929972,0.008176072,-0.008176072
7.0,6.0,8.0,0.0615425,0.0176088,-0.0176088,0.004480122,-0.004480122
9.0,8.0,10.0,0.133685,0.0523647,-0.0523647,0.009731894,-0.009731894

