#: table_doi: 10.17182/hepdata.84717.v1/t39
#: name: Table 38
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Kn_5.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV3Kn_5
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,40-50%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v3_4050,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0080654938,0.0018639348,-0.0018639348,0.000513068,-0.000513068
0.6499999999999999,0.6,0.7,0.0163893435,0.0015923482,-0.0015923482,0.0007819617,-0.0007819617
0.75,0.7,0.8,0.0220422522,0.0015296582,-0.0015296582,0.0010994965,-0.0010994965
0.8500000000000001,0.8,0.9,0.0306731478,0.0015313446,-0.0015313446,0.0015922206,-0.0015922206
0.95,0.9,1.0,0.0372346384,0.0015693739,-0.0015693739,0.0016604728,-0.0016604728
1.125,1.0,1.25,0.0489475541,0.0010809932,-0.0010809932,0.0022749055,-0.0022749055
1.375,1.25,1.5,0.0619509766,0.0012854635,-0.0012854635,0.0027311136,-0.0027311136
1.625,1.5,1.75,0.074962934,0.0015599408,-0.0015599408,0.0035078881,-0.0035078881
1.875,1.75,2.0,0.0831311524,0.0018948522,-0.0018948522,0.0039688978,-0.0039688978
2.125,2.0,2.25,0.0889091597,0.0023482774,-0.0023482774,0.0042191783,-0.0042191783
2.375,2.25,2.5,0.0936686682,0.0029204288,-0.0029204288,0.004598842,-0.004598842
2.625,2.5,2.75,0.0972875484,0.0036155214,-0.0036155214,0.0047944603,-0.0047944603
2.875,2.75,3.0,0.0986538422,0.0044709131,-0.0044709131,0.0047120171,-0.0047120171
3.125,3.0,3.25,0.0893915025,0.0054641523,-0.0054641523,0.0043447686,-0.0043447686
3.375,3.25,3.5,0.0892446282,0.0066249715,-0.0066249715,0.0045137304,-0.0045137304
3.625,3.5,3.75,0.081962435,0.0079896144,-0.0079896144,0.004129513,-0.004129513
3.875,3.75,4.0,0.0858006429,0.0094888507,-0.0094888507,0.0041744924,-0.0041744924

