#: table_doi: 10.17182/hepdata.84717.v1/t90
#: name: Table 89
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2L_6.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV2L_6
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,50-60%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v2_5060,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.0675928,0.00265315,-0.00265315,0.01238123,-0.01238123
1.25,1.1,1.4,0.112672,0.0018633,-0.0018633,0.006714393,-0.006714393
1.5499999999999998,1.4,1.7,0.156571,0.0017252,-0.0017252,0.008602497,-0.008602497
1.85,1.7,2.0,0.193301,0.00182259,-0.00182259,0.01178831,-0.01178831
2.25,2.0,2.5,0.229038,0.00168586,-0.00168586,0.006537243,-0.006537243
2.75,2.5,3.0,0.256475,0.00231813,-0.00231813,0.005199987,-0.005199987
3.25,3.0,3.5,0.276003,0.00339539,-0.00339539,0.01495951,-0.01495951
3.75,3.5,4.0,0.283261,0.00506678,-0.00506678,0.0153529,-0.0153529
4.5,4.0,5.0,0.252934,0.00624823,-0.00624823,0.01370916,-0.01370916
5.5,5.0,6.0,0.22373,0.0131973,-0.0131973,0.01212629,-0.01212629
7.0,6.0,8.0,0.183932,0.0217288,-0.0217288,0.009969215,-0.009969215
9.0,8.0,10.0,0.122851,0.0605895,-0.0605895,0.006658591,-0.006658591

