#: table_doi: 10.17182/hepdata.84717.v1/t34
#: name: Table 33
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Kn_0.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV3Kn_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v3_05,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0056387678,0.0007440448,-0.0007440448,0.0005897476,-0.0005897476
0.6499999999999999,0.6,0.7,0.0060341036,0.0006064367,-0.0006064367,0.0004916716,-0.0004916716
0.75,0.7,0.8,0.0095984333,0.0005597772,-0.0005597772,0.0006844864,-0.0006844864
0.8500000000000001,0.8,0.9,0.0147506114,0.0005440397,-0.0005440397,0.000960673,-0.000960673
0.95,0.9,1.0,0.0185460842,0.0005481257,-0.0005481257,0.0012400987,-0.0012400987
1.125,1.0,1.25,0.0252200009,0.0003710278,-0.0003710278,0.0010758717,-0.0010758717
1.375,1.25,1.5,0.0366697034,0.0004288899,-0.0004288899,0.0015281069,-0.0015281069
1.625,1.5,1.75,0.0469446222,0.0005088032,-0.0005088032,0.0019572382,-0.0019572382
1.875,1.75,2.0,0.0556583812,0.0006119634,-0.0006119634,0.0023104601,-0.0023104601
2.125,2.0,2.25,0.0645963208,0.0007554426,-0.0007554426,0.0027581458,-0.0027581458
2.375,2.25,2.5,0.0699296732,0.0009435732,-0.0009435732,0.0029839823,-0.0029839823
2.625,2.5,2.75,0.0768554529,0.0011813914,-0.0011813914,0.0032976688,-0.0032976688
2.875,2.75,3.0,0.0821908061,0.001479574,-0.001479574,0.0035040739,-0.0035040739
3.125,3.0,3.25,0.0823408748,0.0018521397,-0.0018521397,0.0035072028,-0.0035072028
3.375,3.25,3.5,0.0797116591,0.0023164556,-0.0023164556,0.0034171246,-0.0034171246
3.625,3.5,3.75,0.0868215796,0.0028739763,-0.0028739763,0.0038859797,-0.0038859797
3.875,3.75,4.0,0.0910258249,0.003522672,-0.003522672,0.0038943395,-0.0038943395

