#: table_doi: 10.17182/hepdata.104923.v1/t9
#: name: Table 9
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_9.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
10.5,10.0,11.0,0.10294,0.010637,-0.010637,0.010758,-0.010758,0.002378,-0.002378
11.5,11.0,12.0,0.099265,0.012677,-0.012677,0.010374,-0.010374,0.003558,-0.003558
12.5,12.0,13.0,0.1028,0.014806,-0.014806,0.010743,-0.010743,0.0043756,-0.0043756
13.5,13.0,14.0,0.093755,0.017091,-0.017091,0.0097982,-0.0097982,0.0045275,-0.0045275
14.5,14.0,15.0,0.08626,0.019555,-0.019555,0.0090149,-0.0090149,0.0043471,-0.0043471
15.5,15.0,16.0,0.10706,0.023906,-0.023906,0.011189,-0.011189,0.0086436,-0.0086436
17.0,16.0,18.0,0.11137,0.025522,-0.025522,0.011639,-0.011639,0.0063822,-0.0063822
19.0,18.0,20.0,0.12702,0.036939,-0.036939,0.013274,-0.013274,0.013188,-0.013188

#: CENTRALITY [pct],,,80.0-90.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.018024,0.0021096,-0.0021096,0.0017378,-0.0017378,0.00064152,-0.00064152
0.375,0.35,0.4,0.027361,0.0026221,-0.0026221,0.0024007,-0.0024007,0.00096373,-0.00096373
0.42500000000000004,0.4,0.45,0.038069,0.0031328,-0.0031328,0.0029969,-0.0029969,0.0013342,-0.0013342
0.475,0.45,0.5,0.052617,0.00089684,-0.00089684,0.0014189,-0.0014189,0.0014189,-0.0014189
0.525,0.5,0.55,0.060641,0.00099646,-0.00099646,0.0012203,-0.0012203,0.0012203,-0.0012203
0.575,0.55,0.6,0.070327,0.0011615,-0.0011615,0.0013669,-0.0013669,0.0013669,-0.0013669
0.625,0.6,0.65,0.077114,0.0012883,-0.0012883,0.0038128,-0.0038128,0.0038128,-0.0038128
0.675,0.65,0.7,0.087253,0.0015094,-0.0015094,0.014304,-0.014304,0.014304,-0.014304
0.725,0.7,0.75,0.095938,0.0018345,-0.0018345,0.0088591,-0.0088591,0.0065815,-0.0065815
0.775,0.75,0.8,0.10375,0.0021104,-0.0021104,0.011099,-0.011099,0.0081035,-0.0081035
0.825,0.8,0.85,0.11458,0.0036716,-0.0036716,0.0050611,-0.0050611,0.0050611,-0.0050611
0.875,0.85,0.9,0.12213,0.0039828,-0.0039828,0.0025335,-0.0025335,0.0016781,-0.0016781
0.925,0.9,0.95,0.13648,0.0048167,-0.0048167,0.0018407,-0.0018407,0.002029,-0.002029
0.975,0.95,1.0,0.14614,0.0055828,-0.0055828,0.0026622,-0.0026622,0.0021815,-0.0021815
1.05,1.0,1.1,0.16353,0.0047752,-0.0047752,0.0035305,-0.0035305,0.0024962,-0.0024962
1.15,1.1,1.2,0.20707,0.0068035,-0.0068035,0.006182,-0.006182,0.0033644,-0.0033644
1.25,1.2,1.3,0.18657,0.00684,-0.00684,0.013323,-0.013323,0.003677,-0.003677
1.35,1.3,1.4,0.19376,0.0075679,-0.0075679,0.020854,-0.020854,0.0063642,-0.0063642
1.45,1.4,1.5,0.20726,0.0089336,-0.0089336,0.0034444,-0.0034444,0.010904,-0.010904
1.55,1.5,1.6,0.24649,0.011006,-0.011006,0.0055731,-0.0055731,0.01037,-0.01037
1.65,1.6,1.7,0.24443,0.011563,-0.011563,0.0053241,-0.0053241,0.0098078,-0.0098078
1.75,1.7,1.8,0.24179,0.012275,-0.012275,0.005447,-0.005447,0.0091408,-0.0091408
1.85,1.8,1.9,0.27527,0.016772,-0.016772,0.0064113,-0.0064113,0.0097757,-0.0097757
1.95,1.9,2.0,0.27545,0.015809,-0.015809,0.0074139,-0.0074139,0.0091337,-0.0091337
2.1,2.0,2.2,0.29524,0.013371,-0.013371,0.0091937,-0.0091937,0.0084197,-0.0084197
2.3,2.2,2.4,0.31221,0.015617,-0.015617,0.012068,-0.012068,0.0077589,-0.0077589
2.5,2.4,2.6,0.30546,0.015988,-0.015988,0.014827,-0.014827,0.0058521,-0.0058521
2.7,2.6,2.8,0.29649,0.017294,-0.017294,0.015738,-0.015738,0.0057516,-0.0057516
2.9,2.8,3.0,0.30813,0.019219,-0.019219,0.016911,-0.016911,0.0059994,-0.0059994
3.1,3.0,3.2,0.27402,0.020498,-0.020498,0.015726,-0.015726,0.0039233,-0.0039233
3.3,3.2,3.4,0.2763,0.022773,-0.022773,0.017646,-0.017646,0.0038685,-0.0038685
3.5,3.4,3.6,0.26846,0.022133,-0.022133,0.020042,-0.020042,0.0037498,-0.0037498
3.7,3.6,3.8,0.24989,0.022995,-0.022995,0.020793,-0.020793,0.0035183,-0.0035183
3.9,3.8,4.0,0.24416,0.024857,-0.024857,0.020433,-0.020433,0.0033998,-0.0033998
4.25,4.0,4.5,0.21557,0.017285,-0.017285,0.020841,-0.020841,0.0086082,-0.0086082
4.75,4.5,5.0,0.1918,0.019186,-0.019186,0.017151,-0.017151,0.0063821,-0.0063821
5.25,5.0,5.5,0.18323,0.022971,-0.022971,0.014197,-0.014197,0.0044874,-0.0044874
5.75,5.5,6.0,0.19837,0.031566,-0.031566,0.014238,-0.014238,0.0041583,-0.0041583
6.25,6.0,6.5,0.15525,0.016022,-0.016022,0.015765,-0.015765,0.003203,-0.003203
6.75,6.5,7.0,0.12731,0.014087,-0.014087,0.012928,-0.012928,0.0028532,-0.0028532
7.5,7.0,8.0,0.1352,0.014975,-0.014975,0.013729,-0.013729,0.0030316,-0.0030316
8.5,8.0,9.0,0.12745,0.015906,-0.015906,0.012942,-0.012942,0.0024559,-0.0024559
9.5,9.0,10.0,0.12872,0.018432,-0.018432,0.01307,-0.01307,0.0022185,-0.0022185
10.5,10.0,11.0,0.12275,0.021091,-0.021091,0.012464,-0.012464,0.003494,-0.003494
11.5,11.0,12.0,0.09194,0.020841,-0.020841,0.0093359,-0.0093359,0.005716,-0.005716
12.5,12.0,13.0,0.092062,0.027138,-0.027138,0.0093483,-0.0093483,0.004854,-0.004854
13.5,13.0,14.0,0.069177,0.030856,-0.030856,0.0070245,-0.0070245,0.0093679,-0.0093679
14.5,14.0,15.0,0.12888,0.045856,-0.045856,0.013086,-0.013086,0.010117,-0.010117
15.5,15.0,16.0,0.11399,0.044872,-0.044872,0.011575,-0.011575,0.0058299,-0.0058299
17.0,16.0,18.0,0.03637,0.02892,-0.02892,0.0036931,-0.0036931,0.001067,-0.001067
19.0,18.0,20.0,0.1597,0.070623,-0.070623,0.016216,-0.016216,0.0066466,-0.0066466

