#: table_doi: 10.17182/hepdata.104923.v1/t7
#: name: Table 7
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_7.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
3.1,3.0,3.2,0.52,0.0069179,-0.0069179,0.034018,-0.034018,5.2e-06,-5.2e-06
3.3,3.2,3.4,0.51114,0.0082817,-0.0082817,0.033563,-0.033563,0,0
3.5,3.4,3.6,0.53268,0.0096047,-0.0096047,0.035014,-0.035014,0,0
3.7,3.6,3.8,0.53182,0.01102,-0.01102,0.034014,-0.034014,0,0
3.9,3.8,4.0,0.53903,0.012437,-0.012437,0.032957,-0.032957,0.0026078,-0.0026078
4.25,4.0,4.5,0.54474,0.0096433,-0.0096433,0.033104,-0.033104,0.011628,-0.011628
4.75,4.5,5.0,0.54877,0.012035,-0.012035,0.029345,-0.029345,0.0085618,-0.0085618
5.25,5.0,5.5,0.53499,0.01441,-0.01441,0.02454,-0.02454,0.0058775,-0.0058775
5.75,5.5,6.0,0.53711,0.01743,-0.01743,0.022971,-0.022971,0.0031654,-0.0031654
6.25,6.0,6.5,0.52445,0.010938,-0.010938,0.041956,-0.041956,0.0018392,-0.0018392
6.75,6.5,7.0,0.52316,0.011212,-0.011212,0.041853,-0.041853,0.001558,-0.001558
7.5,7.0,8.0,0.52273,0.011169,-0.011169,0.041819,-0.041819,0.0027675,-0.0027675
8.5,8.0,9.0,0.52923,0.011997,-0.011997,0.042338,-0.042338,0.0040225,-0.0040225
9.5,9.0,10.0,0.52992,0.012967,-0.012967,0.042393,-0.042393,0.0051819,-0.0051819
10.5,10.0,11.0,0.52882,0.014265,-0.014265,0.042305,-0.042305,0.004999,-0.004999
11.5,11.0,12.0,0.53571,0.016161,-0.016161,0.042857,-0.042857,0.0049586,-0.0049586
12.5,12.0,13.0,0.54534,0.018594,-0.018594,0.043627,-0.043627,0.0067308,-0.0067308
13.5,13.0,14.0,0.54818,0.021272,-0.021272,0.043854,-0.043854,0.0076633,-0.0076633
14.5,14.0,15.0,0.59087,0.025121,-0.025121,0.04727,-0.04727,0.0088061,-0.0088061
15.5,15.0,16.0,0.5547,0.026659,-0.026659,0.044376,-0.044376,0.008007,-0.008007
17.0,16.0,18.0,0.51272,0.024568,-0.024568,0.041018,-0.041018,0.0081599,-0.0081599
19.0,18.0,20.0,0.52575,0.031809,-0.031809,0.04206,-0.04206,0.0095243,-0.0095243

#: CENTRALITY [pct],,,50.0-60.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.069341,0.00093477,-0.00093477,0.0048675,-0.0048675,0.0019087,-0.0019087
0.275,0.25,0.3,0.085067,0.00078605,-0.00078605,0.0050429,-0.0050429,0.002249,-0.002249
0.32499999999999996,0.3,0.35,0.096766,0.00045062,-0.00045062,0.0012169,-0.0012169,0.0012169,-0.0012169
0.375,0.35,0.4,0.10889,0.00045768,-0.00045768,0.017657,-0.017657,0.017657,-0.017657
0.42500000000000004,0.4,0.45,0.12156,0.00049468,-0.00049468,0.039005,-0.039005,0.039005,-0.039005
0.475,0.45,0.5,0.1548,0.00096093,-0.00096093,0.005707,-0.005707,0.002382,-0.002382
0.525,0.5,0.55,0.17155,0.0011485,-0.0011485,0.0075462,-0.0075462,0.0031597,-0.0031597
0.575,0.55,0.6,0.18926,0.0013336,-0.0013336,0.0093241,-0.0093241,0.0034974,-0.0034974
0.625,0.6,0.65,0.20361,0.0015322,-0.0015322,0.01129,-0.01129,0.003921,-0.003921
0.675,0.65,0.7,0.22361,0.0020506,-0.0020506,0.0055045,-0.0055045,0.010092,-0.010092
0.725,0.7,0.75,0.23416,0.0022326,-0.0022326,0.0060499,-0.0060499,0.010592,-0.010592
0.775,0.75,0.8,0.24681,0.0024734,-0.0024734,0.0078184,-0.0078184,0.0089927,-0.0089927
0.825,0.8,0.85,0.2639,0.0027784,-0.0027784,0.0085288,-0.0085288,0.0067422,-0.0067422
0.875,0.85,0.9,0.27389,0.0030212,-0.0030212,0.0029922,-0.0029922,0.0048525,-0.0048525
0.925,0.9,0.95,0.28879,0.0034055,-0.0034055,0.0050477,-0.0050477,0.0031749,-0.0031749
0.975,0.95,1.0,0.29555,0.0036348,-0.0036348,0.0045048,-0.0045048,0.0024849,-0.0024849
1.05,1.0,1.1,0.31599,0.0029982,-0.0029982,0.005736,-0.005736,0.0031468,-0.0031468
1.15,1.1,1.2,0.34807,0.0036106,-0.0036106,0.007909,-0.007909,0.0037362,-0.0037362
1.25,1.2,1.3,0.34547,0.0039833,-0.0039833,0.029481,-0.029481,0.0037082,-0.0037082
1.35,1.3,1.4,0.35914,0.0045158,-0.0045158,0.041178,-0.041178,0.0039343,-0.0039343
1.45,1.4,1.5,0.3739,0.0051705,-0.0051705,0.0059056,-0.0059056,0.0042856,-0.0042856
1.55,1.5,1.6,0.38398,0.0053818,-0.0053818,0.0076002,-0.0076002,0.0039809,-0.0039809
1.65,1.6,1.7,0.39173,0.0055914,-0.0055914,0.01155,-0.01155,0.0044556,-0.0044556
1.75,1.7,1.8,0.41207,0.0055364,-0.0055364,0.017426,-0.017426,0.0052514,-0.0052514
1.85,1.8,1.9,0.40913,0.0054404,-0.0054404,0.019004,-0.019004,0.0056783,-0.0056783
1.95,1.9,2.0,0.42598,0.0052295,-0.0052295,0.022728,-0.022728,0.0066329,-0.0066329
2.1,2.0,2.2,0.43673,0.0041455,-0.0041455,0.026683,-0.026683,0.005017,-0.005017
2.3,2.2,2.4,0.45013,0.004484,-0.004484,0.029303,-0.029303,0.0031822,-0.0031822
2.5,2.4,2.6,0.45992,0.005141,-0.005141,0.031504,-0.031504,0,0
2.7,2.6,2.8,0.46102,0.0061491,-0.0061491,0.030548,-0.030548,0.0011309,-0.0011309
2.9,2.8,3.0,0.46176,0.0068104,-0.0068104,0.031566,-0.031566,0.0022635,-0.0022635
3.1,3.0,3.2,0.48833,0.0089592,-0.0089592,0.028254,-0.028254,0,0
3.3,3.2,3.4,0.49134,0.010719,-0.010719,0.028363,-0.028363,0,0
3.5,3.4,3.6,0.50317,0.011775,-0.011775,0.029632,-0.029632,0.0024675,-0.0024675
3.7,3.6,3.8,0.4999,0.013508,-0.013508,0.030946,-0.030946,0.0024499,-0.0024499
3.9,3.8,4.0,0.52435,0.015876,-0.015876,0.030975,-0.030975,0.0025644,-0.0025644
4.25,4.0,4.5,0.50335,0.011692,-0.011692,0.031043,-0.031043,0.018008,-0.018008
4.75,4.5,5.0,0.50775,0.014782,-0.014782,0.029045,-0.029045,0.013432,-0.013432
5.25,5.0,5.5,0.50723,0.01801,-0.01801,0.02581,-0.02581,0.00843,-0.00843
5.75,5.5,6.0,0.49694,0.02138,-0.02138,0.024462,-0.024462,0.0050747,-0.0050747
6.25,6.0,6.5,0.52223,0.014385,-0.014385,0.041779,-0.041779,0.0046306,-0.0046306
6.75,6.5,7.0,0.51961,0.014682,-0.014682,0.041569,-0.041569,0.0048244,-0.0048244
7.5,7.0,8.0,0.52674,0.014838,-0.014838,0.042139,-0.042139,0.0050177,-0.0050177
8.5,8.0,9.0,0.5337,0.015901,-0.015901,0.042696,-0.042696,0.0062341,-0.0062341
9.5,9.0,10.0,0.56344,0.018034,-0.018034,0.045075,-0.045075,0.0044024,-0.0044024
10.5,10.0,11.0,0.5624,0.019736,-0.019736,0.044992,-0.044992,0.0053062,-0.0053062
11.5,11.0,12.0,0.5453,0.021367,-0.021367,0.043624,-0.043624,0.0048618,-0.0048618
12.5,12.0,13.0,0.54951,0.024339,-0.024339,0.043961,-0.043961,0.004183,-0.004183
13.5,13.0,14.0,0.59741,0.029785,-0.029785,0.047793,-0.047793,0.0051221,-0.0051221
14.5,14.0,15.0,0.59487,0.033199,-0.033199,0.04759,-0.04759,0.0080722,-0.0080722
15.5,15.0,16.0,0.5927,0.036736,-0.036736,0.047416,-0.047416,0.0093458,-0.0093458
17.0,16.0,18.0,0.61207,0.036988,-0.036988,0.048966,-0.048966,0.0104,-0.0104
19.0,18.0,20.0,0.57226,0.04425,-0.04425,0.045781,-0.045781,0.0080092,-0.0080092

#: CENTRALITY [pct],,,60.0-70.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.072002,0.0012452,-0.0012452,0.0045773,-0.0045773,0.0019818,-0.0019818
0.275,0.25,0.3,0.08691,0.0010414,-0.0010414,0.0048256,-0.0048256,0.0023345,-0.0023345
0.32499999999999996,0.3,0.35,0.099832,0.00063212,-0.00063212,0.00092179,-0.00092179,0.00092179,-0.00092179
0.375,0.35,0.4,0.11238,0.00064152,-0.00064152,0.017529,-0.017529,0.017529,-0.017529
0.42500000000000004,0.4,0.45,0.12441,0.0006847,-0.0006847,0.039893,-0.039893,0.039893,-0.039893
0.475,0.45,0.5,0.15856,0.001292,-0.001292,0.0070231,-0.0070231,0.0035453,-0.0035453
0.525,0.5,0.55,0.17908,0.0016826,-0.0016826,0.0097289,-0.0097289,0.0058879,-0.0058879
0.575,0.55,0.6,0.1937,0.0019219,-0.0019219,0.011507,-0.011507,0.006551,-0.006551
0.625,0.6,0.65,0.20984,0.0022047,-0.0022047,0.013514,-0.013514,0.0071539,-0.0071539
0.675,0.65,0.7,0.21812,0.0027098,-0.0027098,0.0053693,-0.0053693,0.002397,-0.002397
0.725,0.7,0.75,0.23482,0.0030823,-0.0030823,0.0060668,-0.0060668,0.0019384,-0.0019384
0.775,0.75,0.8,0.23746,0.0032721,-0.0032721,0.0075224,-0.0075224,0.0018221,-0.0018221
0.825,0.8,0.85,0.26286,0.0038215,-0.0038215,0.0084954,-0.0084954,0.0025433,-0.0025433
0.875,0.85,0.9,0.26703,0.0040822,-0.0040822,0.0029173,-0.0029173,0.0039731,-0.0039731
0.925,0.9,0.95,0.2791,0.0045758,-0.0045758,0.0048783,-0.0048783,0.0060744,-0.0060744
0.975,0.95,1.0,0.29042,0.0050281,-0.0050281,0.0044266,-0.0044266,0.0081187,-0.0081187
1.05,1.0,1.1,0.30571,0.0040158,-0.0040158,0.0055495,-0.0055495,0.0099571,-0.0099571
1.15,1.1,1.2,0.31976,0.0045889,-0.0045889,0.0072657,-0.0072657,0.010655,-0.010655
1.25,1.2,1.3,0.32245,0.0052143,-0.0052143,0.027517,-0.027517,0.010484,-0.010484
1.35,1.3,1.4,0.33125,0.0057632,-0.0057632,0.03798,-0.03798,0.016356,-0.016356
1.45,1.4,1.5,0.34702,0.0066695,-0.0066695,0.0054809,-0.0054809,0.030624,-0.030624
1.55,1.5,1.6,0.36527,0.0073488,-0.0073488,0.007204,-0.007204,0.010056,-0.010056
1.65,1.6,1.7,0.36391,0.0073743,-0.0073743,0.01066,-0.01066,0.010097,-0.010097
1.75,1.7,1.8,0.40681,0.0077651,-0.0077651,0.016968,-0.016968,0.011286,-0.011286
1.85,1.8,1.9,0.40564,0.0079258,-0.0079258,0.018721,-0.018721,0.0094548,-0.0094548
1.95,1.9,2.0,0.43088,0.007706,-0.007706,0.023004,-0.023004,0.0081322,-0.0081322
2.1,2.0,2.2,0.43928,0.0060357,-0.0060357,0.02668,-0.02668,0.0052706,-0.0052706
2.3,2.2,2.4,0.4448,0.006377,-0.006377,0.029349,-0.029349,0.0032235,-0.0032235
2.5,2.4,2.6,0.46154,0.0074844,-0.0074844,0.031795,-0.031795,0,0
2.7,2.6,2.8,0.47116,0.0090719,-0.0090719,0.031315,-0.031315,0.0023096,-0.0023096
2.9,2.8,3.0,0.48165,0.010855,-0.010855,0.032439,-0.032439,0.002361,-0.002361
3.1,3.0,3.2,0.50248,0.014089,-0.014089,0.028836,-0.028836,0.0024699,-0.0024699
3.3,3.2,3.4,0.50435,0.015702,-0.015702,0.028523,-0.028523,0.0024773,-0.0024773
3.5,3.4,3.6,0.53815,0.018377,-0.018377,0.028844,-0.028844,0.0026424,-0.0026424
3.7,3.6,3.8,0.53964,0.02083,-0.02083,0.029478,-0.029478,0.0026488,-0.0026488
3.9,3.8,4.0,0.50545,0.021939,-0.021939,0.025524,-0.025524,0.0024805,-0.0024805
4.25,4.0,4.5,0.53686,0.017704,-0.017704,0.027001,-0.027001,0.02342,-0.02342
4.75,4.5,5.0,0.52482,0.021293,-0.021293,0.023785,-0.023785,0.016934,-0.016934
5.25,5.0,5.5,0.5377,0.026876,-0.026876,0.022565,-0.022565,0.011669,-0.011669
5.75,5.5,6.0,0.51475,0.030816,-0.030816,0.019409,-0.019409,0.0074603,-0.0074603
6.25,6.0,6.5,0.54774,0.021213,-0.021213,0.021572,-0.021572,0.0050767,-0.0050767
6.75,6.5,7.0,0.54977,0.021781,-0.021781,0.021565,-0.021565,0.0028053,-0.0028053
7.5,7.0,8.0,0.55705,0.022011,-0.022011,0.021556,-0.021556,0.0026541,-0.0026541
8.5,8.0,9.0,0.55745,0.023224,-0.023224,0.021548,-0.021548,0.0035382,-0.0035382
9.5,9.0,10.0,0.5801,0.025887,-0.025887,0.021543,-0.021543,0.0048544,-0.0048544
10.5,10.0,11.0,0.59269,0.028896,-0.028896,0.021539,-0.021539,0.0060418,-0.0060418
11.5,11.0,12.0,0.62713,0.033954,-0.033954,0.021536,-0.021536,0.0059075,-0.0059075
12.5,12.0,13.0,0.58507,0.0357,-0.0357,0.021534,-0.021534,0.0058008,-0.0058008
13.5,13.0,14.0,0.56941,0.039662,-0.039662,0.021532,-0.021532,0.0063808,-0.0063808
14.5,14.0,15.0,0.59945,0.046065,-0.046065,0.02153,-0.02153,0.0090818,-0.0090818
15.5,15.0,16.0,0.59801,0.050767,-0.050767,0.021529,-0.021529,0.011417,-0.011417
17.0,16.0,18.0,0.59928,0.050765,-0.050765,0.021528,-0.021528,0.005908,-0.005908
19.0,18.0,20.0,0.64398,0.069497,-0.069497,0.021526,-0.021526,0.0067217,-0.0067217

#: CENTRALITY [pct],,,70.0-80.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.073544,0.00184,-0.00184,0.0046735,-0.0046735,0.0020256,-0.0020256
0.275,0.25,0.3,0.086934,0.0015111,-0.0015111,0.004832,-0.004832,0.0023347,-0.0023347
0.32499999999999996,0.3,0.35,0.10011,0.00090478,-0.00090478,0.00093407,-0.00093407,0.00093407,-0.00093407
0.375,0.35,0.4,0.11183,0.00091337,-0.00091337,0.036046,-0.036046,0.036046,-0.036046
0.42500000000000004,0.4,0.45,0.12479,0.00098558,-0.00098558,0.040008,-0.040008,0.040008,-0.040008
0.475,0.45,0.5,0.1618,0.0019838,-0.0019838,0.0072012,-0.0072012,0.0036159,-0.0036159
0.525,0.5,0.55,0.17872,0.0024846,-0.0024846,0.0098394,-0.0098394,0.0058761,-0.0058761
0.575,0.55,0.6,0.19088,0.0028026,-0.0028026,0.01141,-0.01141,0.0064645,-0.0064645
0.625,0.6,0.65,0.20634,0.0031931,-0.0031931,0.013422,-0.013422,0.0070251,-0.0070251
0.675,0.65,0.7,0.19991,0.003646,-0.003646,0.004921,-0.004921,0.0016758,-0.0016758
0.725,0.7,0.75,0.22281,0.0042336,-0.0042336,0.0057565,-0.0057565,0.0018644,-0.0018644
0.775,0.75,0.8,0.23485,0.0046582,-0.0046582,0.0074395,-0.0074395,0.0019773,-0.0019773
0.825,0.8,0.85,0.25591,0.0054817,-0.0054817,0.0082707,-0.0082707,0.0022848,-0.0022848
0.875,0.85,0.9,0.26857,0.0061366,-0.0061366,0.0029341,-0.0029341,0.0028574,-0.0028574
0.925,0.9,0.95,0.26166,0.0061915,-0.0061915,0.0045735,-0.0045735,0.0048453,-0.0048453
0.975,0.95,1.0,0.29431,0.0077896,-0.0077896,0.0044858,-0.0044858,0.0093893,-0.0093893
1.05,1.0,1.1,0.29675,0.0058199,-0.0058199,0.0053868,-0.0053868,0.012625,-0.012625
1.15,1.1,1.2,0.34166,0.007535,-0.007535,0.0077633,-0.0077633,0.016973,-0.016973
1.25,1.2,1.3,0.31582,0.0076096,-0.0076096,0.026951,-0.026951,0.017675,-0.017675
1.35,1.3,1.4,0.30643,0.0080447,-0.0080447,0.035135,-0.035135,0.019477,-0.019477
1.45,1.4,1.5,0.33492,0.009757,-0.009757,0.0052898,-0.0052898,0.025244,-0.025244
1.55,1.5,1.6,0.32931,0.0095117,-0.0095117,0.0064574,-0.0064574,0.015714,-0.015714
1.65,1.6,1.7,0.36346,0.010894,-0.010894,0.010533,-0.010533,0.016645,-0.016645
1.75,1.7,1.8,0.3751,0.010245,-0.010245,0.015434,-0.015434,0.016138,-0.016138
1.85,1.8,1.9,0.37389,0.01026,-0.01026,0.016957,-0.016957,0.014857,-0.014857
1.95,1.9,2.0,0.39041,0.0099124,-0.0099124,0.020384,-0.020384,0.014007,-0.014007
2.1,2.0,2.2,0.40589,0.0079222,-0.0079222,0.023988,-0.023988,0.01211,-0.01211
2.3,2.2,2.4,0.41379,0.008379,-0.008379,0.026193,-0.026193,0.010601,-0.010601
2.5,2.4,2.6,0.42218,0.0094581,-0.0094581,0.028015,-0.028015,0.0080779,-0.0080779
2.7,2.6,2.8,0.43948,0.011156,-0.011156,0.029519,-0.029519,0.0083607,-0.0083607
2.9,2.8,3.0,0.45495,0.013146,-0.013146,0.029876,-0.029876,0.0086212,-0.0086212
3.1,3.0,3.2,0.47247,0.017109,-0.017109,0.028417,-0.028417,0.0067132,-0.0067132
3.3,3.2,3.4,0.48628,0.029444,-0.029444,0.029237,-0.029237,0.0069842,-0.0069842
3.5,3.4,3.6,0.47682,0.023533,-0.023533,0.027801,-0.027801,0.0068593,-0.0068593
3.7,3.6,3.8,0.49588,0.028462,-0.028462,0.028201,-0.028201,0.0070686,-0.0070686
3.9,3.8,4.0,0.49825,0.031813,-0.031813,0.026804,-0.026804,0.0070314,-0.0070314
4.25,4.0,4.5,0.49417,0.0245,-0.0245,0.025692,-0.025692,0.020108,-0.020108
4.75,4.5,5.0,0.54598,0.033235,-0.033235,0.024165,-0.024165,0.014479,-0.014479
5.25,5.0,5.5,0.50432,0.03748,-0.03748,0.020719,-0.020719,0.010353,-0.010353
5.75,5.5,6.0,0.52585,0.046851,-0.046851,0.021069,-0.021069,0.0058515,-0.0058515
6.25,6.0,6.5,0.52554,0.030671,-0.030671,0.042044,-0.042044,0.0029559,-0.0029559
6.75,6.5,7.0,0.54838,0.032671,-0.032671,0.04387,-0.04387,0.0013195,-0.0013195
7.5,7.0,8.0,0.53026,0.03158,-0.03158,0.042421,-0.042421,0.0045037,-0.0045037
8.5,8.0,9.0,0.56606,0.035404,-0.035404,0.045285,-0.045285,0.0042962,-0.0042962
9.5,9.0,10.0,0.5612,0.037578,-0.037578,0.044896,-0.044896,0.0059089,-0.0059089
10.5,10.0,11.0,0.53844,0.039368,-0.039368,0.043075,-0.043075,0.0050314,-0.0050314
11.5,11.0,12.0,0.59456,0.048039,-0.048039,0.047565,-0.047565,0.0077914,-0.0077914
12.5,12.0,13.0,0.5973,0.054554,-0.054554,0.047784,-0.047784,0.011411,-0.011411
13.5,13.0,14.0,0.61339,0.062988,-0.062988,0.049071,-0.049071,0.01056,-0.01056
14.5,14.0,15.0,0.63406,0.07492,-0.07492,0.050725,-0.050725,0.00927,-0.00927
15.5,15.0,16.0,0.64538,0.086142,-0.086142,0.05163,-0.05163,0.014618,-0.014618
17.0,16.0,18.0,0.70059,0.090313,-0.090313,0.056047,-0.056047,0.01929,-0.01929
19.0,18.0,20.0,0.6634,0.1109,-0.1109,0.053072,-0.053072,0.029043,-0.029043

#: CENTRALITY [pct],,,80.0-90.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.077081,0.0030141,-0.0030141,0.004839,-0.004839,0.0021204,-0.0021204
0.275,0.25,0.3,0.08732,0.0023427,-0.0023427,0.0047848,-0.0047848,0.0023487,-0.0023487
0.32499999999999996,0.3,0.35,0.09875,0.0013526,-0.0013526,0.00095695,-0.00095695,0.00095695,-0.00095695
0.375,0.35,0.4,0.11118,0.0013953,-0.0013953,0.016059,-0.016059,0.016059,-0.016059
0.42500000000000004,0.4,0.45,0.13151,0.0015847,-0.0015847,0.036184,-0.036184,0.036184,-0.036184
0.475,0.45,0.5,0.15815,0.0029596,-0.0029596,0.0076379,-0.0076379,0.0035347,-0.0035347
0.525,0.5,0.55,0.17875,0.0042399,-0.0042399,0.011074,-0.011074,0.0059192,-0.0059192
0.575,0.55,0.6,0.19212,0.004797,-0.004797,0.013232,-0.013232,0.006547,-0.006547
0.625,0.6,0.65,0.20597,0.0055322,-0.0055322,0.015116,-0.015116,0.0070306,-0.0070306
0.675,0.65,0.7,0.19277,0.0054147,-0.0054147,0.0047453,-0.0047453,0.0013869,-0.0013869
0.725,0.7,0.75,0.21691,0.006403,-0.006403,0.0056043,-0.0056043,0.0024593,-0.0024593
0.775,0.75,0.8,0.22546,0.0068706,-0.0068706,0.0071422,-0.0071422,0.0035029,-0.0035029
0.825,0.8,0.85,0.23441,0.0075662,-0.0075662,0.007576,-0.007576,0.0036241,-0.0036241
0.875,0.85,0.9,0.26678,0.0098014,-0.0098014,0.0029146,-0.0029146,0.0038167,-0.0038167
0.925,0.9,0.95,0.26409,0.0099472,-0.0099472,0.004616,-0.004616,0.013416,-0.013416
0.975,0.95,1.0,0.25071,0.0098651,-0.0098651,0.0038213,-0.0038213,0.036044,-0.036044
1.05,1.0,1.1,0.28332,0.0086215,-0.0086215,0.005143,-0.005143,0.061355,-0.061355
1.15,1.1,1.2,0.30875,0.010388,-0.010388,0.0070154,-0.0070154,0.063223,-0.063223
1.25,1.2,1.3,0.27962,0.010773,-0.010773,0.023862,-0.023862,0.038424,-0.038424
1.35,1.3,1.4,0.30893,0.013181,-0.013181,0.035421,-0.035421,0.026192,-0.026192
1.45,1.4,1.5,0.3157,0.014461,-0.014461,0.0049863,-0.0049863,0.02579,-0.02579
1.55,1.5,1.6,0.35597,0.017431,-0.017431,0.0069781,-0.0069781,0.017654,-0.017654
1.65,1.6,1.7,0.33893,0.016567,-0.016567,0.0098333,-0.0098333,0.016077,-0.016077
1.75,1.7,1.8,0.36976,0.01694,-0.01694,0.015222,-0.015222,0.016048,-0.016048
1.85,1.8,1.9,0.35981,0.015876,-0.015876,0.016345,-0.016345,0.013972,-0.013972
1.95,1.9,2.0,0.37415,0.01582,-0.01582,0.019593,-0.019593,0.012983,-0.012983
2.1,2.0,2.2,0.40246,0.013072,-0.013072,0.023688,-0.023688,0.011708,-0.011708
2.3,2.2,2.4,0.41681,0.014154,-0.014154,0.026298,-0.026298,0.010534,-0.010534
2.5,2.4,2.6,0.42881,0.016136,-0.016136,0.028328,-0.028328,0.0082703,-0.0082703
2.7,2.6,2.8,0.43674,0.018442,-0.018442,0.029197,-0.029197,0.0084867,-0.0084867
2.9,2.8,3.0,0.44501,0.021793,-0.021793,0.029826,-0.029826,0.0086633,-0.0086633
3.1,3.0,3.2,0.46903,0.028435,-0.028435,0.028203,-0.028203,0.006743,-0.006743
3.3,3.2,3.4,0.45203,0.037096,-0.037096,0.027183,-0.027183,0.0064529,-0.0064529
3.5,3.4,3.6,0.46633,0.038473,-0.038473,0.027628,-0.027628,0.0066478,-0.0066478
3.7,3.6,3.8,0.4667,0.044416,-0.044416,0.027304,-0.027304,0.0066536,-0.0066536
3.9,3.8,4.0,0.55848,0.062495,-0.062495,0.030956,-0.030956,0.0077752,-0.0077752
4.25,4.0,4.5,0.47469,0.038742,-0.038742,0.023851,-0.023851,0.021579,-0.021579
4.75,4.5,5.0,0.51481,0.052655,-0.052655,0.023098,-0.023098,0.017216,-0.017216
5.25,5.0,5.5,0.48643,0.058949,-0.058949,0.019804,-0.019804,0.011692,-0.011692
5.75,5.5,6.0,0.53471,0.084194,-0.084194,0.020741,-0.020741,0.0055764,-0.0055764
6.25,6.0,6.5,0.53132,0.052607,-0.052607,0.042506,-0.042506,0.0025134,-0.0025134
6.75,6.5,7.0,0.55475,0.056069,-0.056069,0.04438,-0.04438,0.0023981,-0.0023981
7.5,7.0,8.0,0.54276,0.054856,-0.054856,0.043421,-0.043421,0.002579,-0.002579
8.5,8.0,9.0,0.5826,0.06185,-0.06185,0.046608,-0.046608,0.0053056,-0.0053056
9.5,9.0,10.0,0.53636,0.06174,-0.06174,0.042909,-0.042909,0.0056002,-0.0056002
10.5,10.0,11.0,0.53327,0.067605,-0.067605,0.042662,-0.042662,0.0080678,-0.0080678
11.5,11.0,12.0,0.59755,0.083273,-0.083273,0.047804,-0.047804,0.01126,-0.01126
12.5,12.0,13.0,0.64739,0.10046,-0.10046,0.051791,-0.051791,0.012926,-0.012926
13.5,13.0,14.0,0.75619,0.13007,-0.13007,0.060495,-0.060495,0.019973,-0.019973
14.5,14.0,15.0,0.72537,0.14616,-0.14616,0.05803,-0.05803,0.012375,-0.012375
15.5,15.0,16.0,0.56303,0.13546,-0.13546,0.045042,-0.045042,0.010476,-0.010476
17.0,16.0,18.0,0.60567,0.1343,-0.1343,0.048453,-0.048453,0.0066681,-0.0066681
19.0,18.0,20.0,0.34178,0.12659,-0.12659,0.027343,-0.027343,0.0051427,-0.0051427

